str_idx,chunk_id,chunk,processed_chunk
CHAPTER THREE,20,"Wouldn't it be better just to go home, dear?"" Aunt Petunia suggested timidly, hours later, but Uncle Vernon didn't seem to hear her. Exactly what he was looking for, none of them knew. He drove them into the middle of a forest, got out, looked around, shook his head, got back in the car, and off they went again. The same thing happened in the middle of a plowed field, halfway across a suspension bridge, and at the top of a multilevel parking garage.

""Daddy's gone mad, hasn't he?"" Dudley asked Aunt Petunia dully late that afternoon. Uncle Vernon had parked at the coast, locked them all inside the car, and disappeared.

It started to rain. Great drops beat on the roof of the car. Dud ley sniveled.

""It's Monday,"" he told his mother. ""The Great Humberto's on tonight. I want to stay somewhere with a television. ""","would not it be well just to go home , dear ? aunt petunia suggest timidly , hour later , but uncle vernon do not seem to hear she . exactly what he be look for , none of they know . he drive they into the middle of a forest , get out , look around , shake his head , get back in the car , and off they go again . the same thing happen in the middle of a plow field , halfway across a suspension bridge , and at the top of a multilevel parking garage . daddys go mad , have not he ? dudley ask aunt petunia dully late that afternoon . uncle vernon have park at the coast , lock they all inside the car , and disappear . it start to rain . great drop beat on the roof of the car . dud ley snivel . its monday , he tell his mother . the great humberto on tonight . I want to stay somewhere with a television ."
CHAPTER THREE,21,"Monday. This reminded Harry of something. If it was Monday -- and you could usually count on Dudley to know the days the week, because of television -- then tomorrow, Tuesday, was Harry's eleventh birthday. Of course, his birthdays were never exactly fun -- last year, the Dursleys had given him a coat hanger and a pair of Uncle Vernon's old socks. Still, you weren't eleven every day.

Uncle Vernon was back and he was smiling. He was also carrying a long, thin package and didn't answer Aunt Petunia when she asked what he'd bought.

""Found the perfect place!"" he said. ""Come on! Everyone out!""

It was very cold outside the car. Uncle Vernon was pointing at what looked like a large rock way out at sea. Perched on top of the rock was the most miserable little shack you could imagine. One thing was certain, there was no television in there.

""Storm forecast for tonight!"" said Uncle Vernon gleefully, clapping his hands together. ""And this gentleman's kindly agreed to lend us his boat!""","monday . this remind harry of something . if it be monday and you could usually count on dudley to know the day the week , because of television then tomorrow , tuesday , be harrys eleventh birthday . of course , his birthday be never exactly fun last year , the dursley have give he a coat hang and a pair of uncle vernon old sock . still , you be not eleven every day . uncle vernon be back and he be smile . he be also carry a long , thin package and do not answer aunt petunia when she ask what he d buy . find the perfect place ! he say . come on ! everyone out ! it be very cold outside the car . uncle vernon be point at what look like a large rock way out at sea . perch on top of the rock be the most miserable little shack you could imagine . one thing be certain , there be no television in there . storm forecast for tonight ! say uncle vernon gleefully , clap his hand together . and this gentleman kindly agree to lend we his boat !"
CHAPTER THREE,22,"A toothless old man came ambling up to them, pointing, with a rather wicked grin, at an old rowboat bobbing in the iron-gray water below them.

""I've already got us some rations,"" said Uncle Vernon, ""so all aboard!""

It was freezing in the boat. Icy sea spray and rain crept down their necks and a chilly wind whipped their faces. After what seemed like hours they reached the rock, where Uncle Vernon, slipping and sliding, led the way to the broken-down house.

The inside was horrible; it smelled strongly of seaweed, the wind whistled through the gaps in the wooden walls, and the fireplace was damp and empty. There were only two rooms.

Uncle Vernon's rations turned out to be a bag of chips each and four bananas. He tried to start a fire but the empty chip bags just smoked and shriveled up.

""Could do with some of those letters now, eh?"" he said cheerfully.","a toothless old man come amble up to they , point , with a rather wicked grin , at an old rowboat bob in the irongray water below they . I ve already get we some ration , say uncle vernon , so all aboard ! it be freeze in the boat . icy sea spray and rain creep down their neck and a chilly wind whip their face . after what seem like hour they reach the rock , where uncle vernon , slip and slide , lead the way to the brokendown house . the inside be horrible it smell strongly of seaweed , the wind whistle through the gap in the wooden wall , and the fireplace be damp and empty . there be only two room . uncle vernon ration turn out to be a bag of chip each and four banana . he try to start a fire but the empty chip bag just smoke and shrivel up . could do with some of those letter now , eh ? he say cheerfully ."
CHAPTER THREE,23,"He was in a very good mood. Obviously he thought nobody stood a chance of reaching them here in a storm to deliver mail. Harry privately agreed, though the thought didn't cheer him up at all.

As night fell, the promised storm blew up around them. Spray from the high waves splattered the walls of the hut and a fierce wind rattled the filthy windows. Aunt Petunia found a few moldy blankets in the second room and made up a bed for Dudley on the moth-eaten sofa. She and Uncle Vernon went off to the lumpy bed next door, and Harry was left to find the softest bit of floor he could and to curl up under the thinnest, most ragged blanket.","he be in a very good mood . obviously he think nobody stand a chance of reach they here in a storm to deliver mail . harry privately agree , though the thought do not cheer he up at all . as night fall , the promise storm blow up around they . spray from the high wave splatter the wall of the hut and a fierce wind rattle the filthy window . aunt petunia find a few moldy blanket in the second room and make up a bed for dudley on the motheaten sofa . she and uncle vernon go off to the lumpy bed next door , and harry be leave to find the soft bit of floor he could and to curl up under the thin , most ragged blanket ."
CHAPTER THREE,24,"The storm raged more and more ferociously as the night went on. Harry couldn't sleep. He shivered and turned over, trying to get comfortable, his stomach rumbling with hunger. Dudley's snores were drowned by the low rolls of thunder that started near midnight. The lighted dial of Dudley's watch, which was dangling over the edge of the sofa on his fat wrist, told Harry he'd be eleven in ten minutes' time. He lay and watched his birthday tick nearer, wondering if the Dursleys would remember at all, wondering where the letter writer was now.

Five minutes to go. Harry heard something creak outside. He hoped the roof wasn't going to fall in, although he might be warmer if it did. Four minutes to go. Maybe the house in Privet Drive would be so full of letters when they got back that he'd be able to steal one somehow.

Three minutes to go. Was that the sea, slapping hard on the rock like that? And (two minutes to go) what was that funny crunching noise? Was the rock crumbling into the sea?","the storm rage more and more ferociously as the night go on . harry could not sleep . he shiver and turn over , try to get comfortable , his stomach rumble with hunger . dudley snore be drown by the low roll of thunder that start near midnight . the lighted dial of dudley watch , which be dangle over the edge of the sofa on his fat wrist , tell harry he d be eleven in ten minute time . he lie and watch his birthday tick nearer , wonder if the dursley would remember at all , wonder where the letter writer be now . five minute to go . harry hear something creak outside . he hope the roof be not go to fall in , although he might be warm if it do . four minute to go . maybe the house in privet drive would be so full of letter when they get back that he d be able to steal one somehow . three minute to go . be that the sea , slap hard on the rock like that ? and two minute to go what be that funny crunch noise ? be the rock crumble into the sea ?"
CHAPTER THREE,25,"One minute to go and he'd be eleven. Thirty seconds... twenty ... ten... nine -- maybe he'd wake Dudley up, just to annoy him -- three... two... one...

BOOM.

The whole shack shivered and Harry sat bolt upright, staring at the door. Someone was outside, knocking to come in.","one minute to go and he d be eleven . thirty second ... twenty ... ten ... nine maybe he d wake dudley up , just to annoy he three ... two ... one ... boom . the whole shack shiver and harry sit bolt upright , stare at the door . someone be outside , knock to come in ."
CHAPTER FOUR,0,"BOOM. They knocked again. Dudley jerked awake. ""Where's the cannon?"" he said stupidly.

There was a crash behind them and Uncle Vernon came skidding into the room. He was holding a rifle in his hands -- now they knew what had been in the long, thin package he had brought with them.

""Who's there?"" he shouted. ""I warn you -- I'm armed!""

There was a pause. Then --

SMASH!

The door was hit with such force that it swung clean off its hinges and with a deafening crash landed flat on the floor.

A giant of a man was standing in the doorway. His face was almost completely hidden by a long, shaggy mane of hair and a wild, tangled beard, but you could make out his eyes, glinting like black beetles under all the hair.

The giant squeezed his way into the hut, stooping so that his head just brushed the ceiling. He bent down, picked up the door, and fitted it easily back into its frame. The noise of the storm outside dropped a little. He turned to look at them all.","boom . they knock again . dudley jerk awake . where s the cannon ? he say stupidly . there be a crash behind they and uncle vernon come skid into the room . he be hold a rifle in his hand now they know what have be in the long , thin package he have bring with they . who s there ? he shout . I warn you I m arm ! there be a pause . then smash ! the door be hit with such force that it swing clean off its hinge and with a deafening crash land flat on the floor . a giant of a man be stand in the doorway . his face be almost completely hide by a long , shaggy mane of hair and a wild , tangle beard , but you could make out his eye , glint like black beetle under all the hair . the giant squeeze his way into the hut , stoop so that his head just brush the ceiling . he bend down , pick up the door , and fit it easily back into its frame . the noise of the storm outside drop a little . he turn to look at they all ."
CHAPTER FOUR,1,"""Couldn't make us a cup o' tea, could yeh? It's not been an easy journey...""

He strode over to the sofa where Dudley sat frozen with fear.

""Budge up, yeh great lump,"" said the stranger.

Dudley squeaked and ran to hide behind his mother, who was crouching, terrified, behind Uncle Vernon.

""An' here's Harry!"" said the giant.

Harry looked up into the fierce, wild, shadowy face and saw that the beetle eyes were crinkled in a smile.

""Las' time I saw you, you was only a baby,"" said the giant. ""Yeh look a lot like yet dad, but yeh've got yet mom's eyes.""

Uncle Vernon made a funny rasping noise.

I demand that you leave at once, sit!"" he said. ""You are breaking and entering!""

""Ah, shut up, Dursley, yeh great prune,"" said the giant; he reached over the back of the sofa, jerked the gun out of Uncle Vernon's hands, bent it into a knot as easily as if it had been made of rubber, and threw it into a corner of the room.

Uncle Vernon made another funny noise, like a mouse being trodden on.","could not make we a cup o tea , could yeh ? its not be an easy journey ... he stride over to the sofa where dudley sit freeze with fear . budge up , yeh great lump , say the stranger . dudley squeak and run to hide behind his mother , who be crouch , terrified , behind uncle vernon . an here harry ! say the giant . harry look up into the fierce , wild , shadowy face and see that the beetle eye be crinkle in a smile . las time I see you , you be only a baby , say the giant . yeh look a lot like yet dad , but yehve get yet mom eye . uncle vernon make a funny rasping noise . I demand that you leave at once , sit ! he say . you be break and enter ! ah , shut up , dursley , yeh great prune , say the giant he reach over the back of the sofa , jerk the gun out of uncle vernon hand , bend it into a knot as easily as if it have be make of rubber , and throw it into a corner of the room . uncle vernon make another funny noise , like a mouse be tread on ."
CHAPTER FOUR,2,"""Anyway -- Harry,"" said the giant, turning his back on the Dursleys, ""a very happy birthday to yeh. Got summat fer yeh here -- I mighta sat on it at some point, but it'll taste all right.""

From an inside pocket of his black overcoat he pulled a slightly squashed box. Harry opened it with trembling fingers. Inside was a large, sticky chocolate cake with Happy Birthday Harry written on it in green icing.

Harry looked up at the giant. He meant to say thank you, but the words got lost on the way to his mouth, and what he said instead was, ""Who are you?""

The giant chuckled.

""True, I haven't introduced meself. Rubeus Hagrid, Keeper of Keys and Grounds at Hogwarts.""

He held out an enormous hand and shook Harry's whole arm.

""What about that tea then, eh?"" he said, rubbing his hands together. ""I'd not say no ter summat stronger if yeh've got it, mind.""","anyway harry , say the giant , turn his back on the dursley , a very happy birthday to yeh . get summat fer yeh here I mighta sit on it at some point , but it ll taste all right . from an inside pocket of his black overcoat he pull a slightly squash box . harry open it with tremble finger . inside be a large , sticky chocolate cake with happy birthday harry write on it in green icing . harry look up at the giant . he mean to say thank you , but the word get lose on the way to his mouth , and what he say instead be , who be you ? the giant chuckle . true , I have not introduce meself . rubeus hagrid , keeper of key and ground at hogwart . he hold out an enormous hand and shake harry whole arm . what about that tea then , eh ? he say , rub his hand together . I d not say no ter summat strong if yehve get it , mind ."
CHAPTER FOUR,3,"His eyes fell on the empty grate with the shriveled chip bags in it and he snorted. He bent down over the fireplace; they couldn't see what he was doing but when he drew back a second later, there was a roaring fire there. It filled the whole damp hut with flickering light and Harry felt the warmth wash over him as though he'd sunk into a hot bath.

The giant sat back down on the sofa, which sagged under his weight, and began taking all sorts of things out of the pockets of his coat: a copper kettle, a squashy package of sausages, a poker, a teapot, several chipped mugs, and a bottle of some amber liquid that he took a swig from before starting to make tea. Soon the hut was full of the sound and smell of sizzling sausage. Nobody said a thing while the giant was working, but as he slid the first six fat, juicy, slightly burnt sausages from the poker, Dudley fidgeted a little. Uncle Vernon said sharply, ""Don't touch anything he gives you, Dudley.""

The giant chuckled darkly.","his eye fall on the empty grate with the shriveled chip bag in it and he snort . he bend down over the fireplace they could not see what he be do but when he draw back a second later , there be a roar fire there . it fill the whole damp hut with flicker light and harry feel the warmth wash over he as though he d sink into a hot bath . the giant sit back down on the sofa , which sag under his weight , and begin take all sort of thing out of the pocket of his coat a copper kettle , a squashy package of sausage , a poker , a teapot , several chip mug , and a bottle of some amber liquid that he take a swig from before start to make tea . soon the hut be full of the sound and smell of sizzle sausage . nobody say a thing while the giant be work , but as he slide the first six fat , juicy , slightly burn sausage from the poker , dudley fidget a little . uncle vernon say sharply , do not touch anything he give you , dudley . the giant chuckle darkly ."
CHAPTER FOUR,4,"""Yet great puddin' of a son don' need fattenin' anymore, Dursley, don' worry.""

He passed the sausages to Harry, who was so hungry he had never tasted anything so wonderful, but he still couldn't take his eyes off the giant. Finally, as nobody seemed about to explain anything, he said, ""I'm sorry, but I still don't really know who you are.""

The giant took a gulp of tea and wiped his mouth with the back of his hand.

""Call me Hagrid,"" he said, ""everyone does. An' like I told yeh, I'm Keeper of Keys at Hogwarts -- yeh'll know all about Hogwarts, o' course.

""Er -- no,"" said Harry.

Hagrid looked shocked.

""Sorry,"" Harry said quickly.

""Sony?"" barked Hagrid, turning to stare at the Dursleys, who shrank back into the shadows. ""It' s them as should be sorry! I knew yeh weren't gettin' yer letters but I never thought yeh wouldn't even know abou' Hogwarts, fer cryin' out loud! Did yeh never wonder where yet parents learned it all?""

""All what?"" asked Harry.","yet great puddin of a son don need fattenin anymore , dursley , don worry . he pass the sausage to harry , who be so hungry he have never taste anything so wonderful , but he still could not take his eye off the giant . finally , as nobody seem about to explain anything , he say , I m sorry , but I still do not really know who you be . the giant take a gulp of tea and wipe his mouth with the back of his hand . call I hagrid , he say , everyone do . an like I tell yeh , I m keeper of key at hogwart yehll know all about hogwart , o course . er no , say harry . hagrid look shocked . sorry , harry say quickly . sony ? bark hagrid , turn to stare at the dursley , who shrink back into the shadow . it s they as should be sorry ! I know yeh be not gettin yer letter but I never think yeh would not even know abou hogwart , fer cryin out loud ! do yeh never wonder where yet parent learn it all ? all what ? ask harry ."
CHAPTER FOUR,5,"""ALL WHAT?"" Hagrid thundered. ""Now wait jus' one second!""

He had leapt to his feet. In his anger he seemed to fill the whole hut. The Dursleys were cowering against the wall.

""Do you mean ter tell me,"" he growled at the Dursleys, ""that this boy -- this boy! -- knows nothin' abou' -- about ANYTHING?""

Harry thought this was going a bit far. He had been to school, after all, and his marks weren't bad.

""I know some things,"" he said. ""I can, you know, do math and stuff."" But Hagrid simply waved his hand and said, ""About our world, I mean. Your world. My world. Yer parents' world.""

""What world?""

Hagrid looked as if he was about to explode.

""DURSLEY!"" he boomed.

Uncle Vernon, who had gone very pale, whispered something that sounded like ""Mimblewimble."" Hagrid stared wildly at Harry.

""But yeh must know about yet mom and dad,"" he said. ""I mean, they're famous. You're famous.""

""What? My -- my mom and dad weren't famous, were they?""","all what ? hagrid thunder . now wait ju one second ! he have leapt to his foot . in his anger he seem to fill the whole hut . the dursley be cower against the wall . do you mean ter tell I , he growl at the dursley , that this boy this boy ! know nothin abou about anything ? harry think this be go a bit far . he have be to school , after all , and his mark be not bad . I know some thing , he say . I can , you know , do math and stuff . but hagrid simply wave his hand and say , about our world , I mean . your world . my world . yer parent world . what world ? hagrid look as if he be about to explode . dursley ! he boom . uncle vernon , who have go very pale , whisper something that sound like mimblewimble . hagrid stare wildly at harry . but yeh must know about yet mom and dad , he say . I mean , they re famous . you re famous . what ? my my mom and dad be not famous , be they ?"
CHAPTER FOUR,6,"""Yeh don' know... yeh don' know..."" Hagrid ran his fingers through his hair, fixing Harry with a bewildered stare.

""Yeh don' know what yeh are?"" he said finally.

Uncle Vernon suddenly found his voice.

""Stop!"" he commanded. ""Stop right there, sit! I forbid you to tell the boy anything!""

A braver man than Vernon Dursley would have quailed under the furious look Hagrid now gave him; when Hagrid spoke, his every syllable trembled with rage.

""You never told him? Never told him what was in the letter Dumbledore left fer him? I was there! I saw Dumbledore leave it, Dursley! An' you've kept it from him all these years?""

""Kept what from me?"" said Harry eagerly.

""STOP! I FORBID YOU!"" yelled Uncle Vernon in panic.

Aunt Petunia gave a gasp of horror.

""Ah, go boil yet heads, both of yeh,"" said Hagrid. ""Harry -- yet a wizard.""

There was silence inside the hut. Only the sea and the whistling wind could be heard.

""-- a what?"" gasped Harry.","yeh don know ... yeh don know ... hagrid run his finger through his hair , fix harry with a bewildered stare . yeh don know what yeh be ? he say finally . uncle vernon suddenly find his voice . stop ! he command . stop right there , sit ! I forbid you to tell the boy anything ! a braver man than vernon dursley would have quail under the furious look hagrid now give he when hagrid speak , his every syllable tremble with rage . you never tell he ? never tell he what be in the letter dumbledore leave fer he ? I be there ! I see dumbledore leave it , dursley ! an you ve keep it from he all these year ? keep what from I ? say harry eagerly . stop ! I forbid you ! yell uncle vernon in panic . aunt petunia give a gasp of horror . ah , go boil yet head , both of yeh , say hagrid . harry yet a wizard . there be silence inside the hut . only the sea and the whistle wind could be hear . a what ? gasp harry ."
CHAPTER FOUR,7,"""A wizard, o' course,"" said Hagrid, sitting back down on the sofa, which groaned and sank even lower, ""an' a thumpin' good'un, I'd say, once yeh've been trained up a bit. With a mum an' dad like yours, what else would yeh be? An' I reckon it's abou' time yeh read yer letter.""

Harry stretched out his hand at last to take the yellowish envelope, addressed in emerald green to Mr. H. Potter, The Floor, Hut-on-the-Rock, The Sea. He pulled out the letter and read:

HOGWARTS SCHOOL of WITCHCRAFT and WIZARDRY

Headmaster: ALBUS DUMBLEDORE

(Order of Merlin, First Class, Grand Sorc., Chf. Warlock, Supreme Mugwump, International Confed. of Wizards)

Dear Mr. Potter,

We are pleased to inform you that you have been accepted at Hogwarts School of Witchcraft and Wizardry. Please find enclosed a list of all necessary books and equipment.

Term begins on September 1. We await your owl by no later than July 31. Yours sincerely,

Minerva McGonagall,

Deputy Headmistress","a wizard , o course , say hagrid , sit back down on the sofa , which groan and sink even low , an a thumpin goodun , i d say , once yehve be train up a bit . with a mum an dad like your , what else would yeh be ? an I reckon its abou time yeh read yer letter . harry stretch out his hand at last to take the yellowish envelope , address in emerald green to mr . h. potter , the floor , hutontherock , the sea . he pull out the letter and read hogwart school of witchcraft and wizardry headmaster albus dumbledore order of merlin , first class , grand sorc . , chf . warlock , supreme mugwump , international confe . of wizard dear mr . potter , we be pleased to inform you that you have be accept at hogwart school of witchcraft and wizardry . please find enclose a list of all necessary book and equipment . term begin on september 1 . we await your owl by no later than july 31 . yours sincerely , minerva mcgonagall , deputy headmistress"
CHAPTER FOUR,8,"Questions exploded inside Harry's head like fireworks and he couldn't decide which to ask first. After a few minutes he stammered, ""What does it mean, they await my owl?""

""Gallopin' Gorgons, that reminds me,"" said Hagrid, clapping a hand to his forehead with enough force to knock over a cart horse, and from yet another pocket inside his overcoat he pulled an owl -- a real, live, rather ruffled-looking owl -- a long quill, and a roll of parchment. With his tongue between his teeth he scribbled a note that Harry could read upside down:

Dear Professor Dumbledore,

Given Harry his letter.

Taking him to buy his things tomorrow.

Weather's horrible. Hope you're Well.

Hagrid

Hagrid rolled up the note, gave it to the owl, which clamped it in its beak, went to the door, and threw the owl out into the storm. Then he came back and sat down as though this was as normal as talking on the telephone.

Harry realized his mouth was open and closed it quickly.","question explode inside harry head like firework and he could not decide which to ask first . after a few minute he stammer , what do it mean , they await my owl ? gallopin gorgon , that remind I , say hagrid , clap a hand to his forehead with enough force to knock over a cart horse , and from yet another pocket inside his overcoat he pull an owl a real , live , rather ruffledlooke owl a long quill , and a roll of parchment . with his tongue between his tooth he scribble a note that harry could read upside down dear professor dumbledore , give harry his letter . take he to buy his thing tomorrow . weather horrible . hope you re well . hagrid hagrid roll up the note , give it to the owl , which clamp it in its beak , go to the door , and throw the owl out into the storm . then he come back and sit down as though this be as normal as talk on the telephone . harry realize his mouth be open and close it quickly ."
CHAPTER FOUR,9,"""Where was I?"" said Hagrid, but at that moment, Uncle Vernon, still ashen-faced but looking very angry, moved into the firelight.

""He's not going,"" he said.

Hagrid grunted.

""I'd like ter see a great Muggle like you stop him,"" he said.

""A what?"" said Harry, interested.

""A Muggle,"" said Hagrid, ""it's what we call nonmagic folk like thern. An' it's your bad luck you grew up in a family o' the biggest Muggles I ever laid eyes on.""

""We swore when we took him in we'd put a stop to that rubbish,"" said Uncle Vernon, ""swore we'd stamp it out of him! Wizard indeed!""

""You knew?"" said Harry. ""You knew I'm a -- a wizard?""","where be I ? say hagrid , but at that moment , uncle vernon , still ashenface but look very angry , move into the firelight . he s not go , he say . hagrid grunt . I d like ter see a great muggle like you stop he , he say . a what ? say harry , interested . a muggle , say hagrid , its what we call nonmagic folk like thern . an its your bad luck you grow up in a family o the big muggle I ever lay eye on . we swear when we take he in we d put a stop to that rubbish , say uncle vernon , swear we d stamp it out of he ! wizard indeed ! you know ? say harry . you know I m a a wizard ?"
CHAPTER FOUR,10,"""Knew!"" shrieked Aunt Petunia suddenly. ""Knew! Of course we knew! How could you not be, my dratted sister being what she was? Oh, she got a letter just like that and disappeared off to that-that school-and came home every vacation with her pockets full of frog spawn, turning teacups into rats. I was the only one who saw her for what she was -- a freak! But for my mother and father, oh no, it was Lily this and Lily that, they were proud of having a witch in the family!""

She stopped to draw a deep breath and then went ranting on. It seemed she had been wanting to say all this for years.

""Then she met that Potter at school and they left and got married and had you, and of course I knew you'd be just the same, just as strange, just as -- as -- abnormal -- and then, if you please, she went and got herself blown up and we got landed with you!""

Harry had gone very white. As soon as he found his voice he said, ""Blown up? You told me they died in a car crash!""","know ! shriek aunt petunia suddenly . know ! of course we know ! how could you not be , my dratted sister be what she be ? oh , she get a letter just like that and disappear off to thatthat schooland come home every vacation with her pocket full of frog spawn , turn teacup into rat . I be the only one who see she for what she be a freak ! but for my mother and father , oh no , it be lily this and lily that , they be proud of have a witch in the family ! she stop to draw a deep breath and then go rant on . it seem she have be want to say all this for year . then she meet that potter at school and they leave and get marry and have you , and of course I know you d be just the same , just as strange , just as as abnormal and then , if you please , she go and get herself blow up and we get land with you ! harry have go very white . as soon as he find his voice he say , blow up ? you tell I they die in a car crash !"
CHAPTER FOUR,11,"""CAR CRASH!"" roared Hagrid, jumping up so angrily that the Dursleys scuttled back to their corner. ""How could a car crash kill Lily an' James Potter? It's an outrage! A scandal! Harry Potter not knowin' his own story when every kid in our world knows his name!"" ""But why? What happened?"" Harry asked urgently.

The anger faded from Hagrid's face. He looked suddenly anxious.

""I never expected this,"" he said, in a low, worried voice. ""I had no idea, when Dumbledore told me there might be trouble gettin' hold of yeh, how much yeh didn't know. Ah, Harry, I don' know if I'm the right person ter tell yeh -- but someone 3 s gotta -- yeh can't go off ter Hogwarts not knowin'.""

He threw a dirty look at the Dursleys.

""Well, it's best yeh know as much as I can tell yeh -- mind, I can't tell yeh everythin', it's a great myst'ry, parts of it....""","car crash ! roar hagrid , jump up so angrily that the dursley scuttle back to their corner . how could a car crash kill lily an james potter ? its an outrage ! a scandal ! harry potter not knowin his own story when every kid in our world know his name ! but why ? what happen ? harry ask urgently . the anger fade from hagrid face . he look suddenly anxious . I never expect this , he say , in a low , worried voice . I have no idea , when dumbledore tell I there might be trouble gettin hold of yeh , how much yeh do not know . ah , harry , I don know if I m the right person ter tell yeh but someone 3 s get to yeh can not go off ter hogwart not knowin . he throw a dirty look at the dursley . well , its good yeh know as much as I can tell yeh mind , I can not tell yeh everythin , its a great mystry , part of it ...."
CHAPTER FOUR,12,"He sat down, stared into the fire for a few seconds, and then said, ""It begins, I suppose, with -- with a person called -- but it's incredible yeh don't know his name, everyone in our world knows --""

""Who? ""

""Well -- I don' like sayin' the name if I can help it. No one does.""

""Why not?""

""Gulpin' gargoyles, Harry, people are still scared. Blimey, this is difficult. See, there was this wizard who went... bad. As bad as you could go. Worse. Worse than worse. His name was...""

Hagrid gulped, but no words came out.

""Could you write it down?"" Harry suggested.","he sit down , stare into the fire for a few second , and then say , it begin , I suppose , with with a person call but its incredible yeh do not know his name , everyone in our world know who ? well I don like sayin the name if I can help it . no one do . why not ? gulpin gargoyle , harry , people be still scared . blimey , this be difficult . see , there be this wizard who go ... bad . as bad as you could go . bad . bad than bad . his name be ... hagrid gulp , but no word come out . could you write it down ? harry suggest ."
CHAPTER FOUR,13,"""Nah -can't spell it. All right -- Voldemort. "" Hagrid shuddered. ""Don' make me say it again. Anyway, this -- this wizard, about twenty years ago now, started lookin' fer followers. Got 'em, too -- some were afraid, some just wanted a bit o' his power, 'cause he was gettin' himself power, all right. Dark days, Harry. Didn't know who ter trust, didn't dare get friendly with strange wizards or witches... terrible things happened. He was takin' over. 'Course, some stood up to him -- an' he killed 'em. Horribly. One o' the only safe places left was Hogwarts. Reckon Dumbledore's the only one You-Know-Who was afraid of. Didn't dare try takin' the school, not jus' then, anyway.

""Now, yer mum an' dad were as good a witch an' wizard as I ever knew. Head boy an' girl at Hogwarts in their day! Suppose the myst'ry is why You-Know-Who never tried to get 'em on his side before... probably knew they were too close ter Dumbledore ter want anythin' ter do with the Dark Side.","nah can not spell it . all right voldemort . hagrid shudder . don make I say it again . anyway , this this wizard , about twenty year ago now , start lookin fer follower . get em , too some be afraid , some just want a bit o his power , cause he be gettin himself power , all right . dark day , harry . do not know who ter trust , do not dare get friendly with strange wizard or witch ... terrible thing happen . he be takin over . course , some stand up to he an he kill em . horribly . one o the only safe place leave be hogwart . reckon dumbledore the only one youknowwho be afraid of . do not dare try takin the school , not jus then , anyway . now , yer mum an dad be as good a witch an wizard as I ever know . head boy an girl at hogwart in their day ! suppose the mystry be why youknowwho never try to get em on his side before ... probably know they be too close ter dumbledore ter want anythin ter do with the dark side ."
CHAPTER FOUR,14,"""Maybe he thought he could persuade 'em... maybe he just wanted 'em outta the way. All anyone knows is, he turned up in the village where you was all living, on Halloween ten years ago. You was just a year old. He came ter yer house an' -- an' --""

Hagrid suddenly pulled out a very dirty, spotted handkerchief and blew his nose with a sound like a foghorn.

""Sorry,"" he said. ""But it's that sad -- knew yer mum an' dad, an' nicer people yeh couldn't find -- anyway...""","maybe he think he could persuade em ... maybe he just want em outta the way . all anyone know be , he turn up in the village where you be all live , on halloween ten year ago . you be just a year old . he come ter yer house an an hagrid suddenly pull out a very dirty , spot handkerchief and blow his nose with a sound like a foghorn . sorry , he say . but its that sad know yer mum an dad , an nicer people yeh could not find anyway ..."
CHAPTER FOUR,15,"""You-Know-Who killed 'em. An' then -- an' this is the real myst'ry of the thing -- he tried to kill you, too. Wanted ter make a clean job of it, I suppose, or maybe he just liked killin' by then. But he couldn't do it. Never wondered how you got that mark on yer forehead? That was no ordinary cut. That's what yeh get when a Powerful, evil curse touches yeh -- took care of yer mum an' dad an' yer house, even -- but it didn't work on you, an' that's why yer famous, Harry. No one ever lived after he decided ter kill 'em, no one except you, an' he'd killed some o' the best witches an' wizards of the age -- the McKinnons, the Bones, the Prewetts -- an' you was only a baby, an' you lived.""

Something very painful was going on in Harry's mind. As Hagrid's story came to a close, he saw again the blinding flash of green light, more clearly than he had ever remembered it before -- and he remembered something else, for the first time in his life: a high, cold, cruel laugh.","youknowwho kill em . an then an this be the real mystry of the thing he try to kill you , too . want ter make a clean job of it , I suppose , or maybe he just like killin by then . but he could not do it . never wonder how you get that mark on yer forehead ? that be no ordinary cut . that s what yeh get when a powerful , evil curse touch yeh take care of yer mum an dad an yer house , even but it do not work on you , an that s why yer famous , harry . no one ever live after he decide ter kill em , no one except you , an he d kill some o the good witch an wizard of the age the mckinnon , the bone , the prewett an you be only a baby , an you live . something very painful be go on in harry mind . as hagrids story come to a close , he see again the blind flash of green light , more clearly than he have ever remember it before and he remember something else , for the first time in his life a high , cold , cruel laugh ."
